<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20220324;000000;251.4100000;278.9000000;232.0000000;258.5100000;78576580
GAZP;D;20220325;000000;263.9900000;269.3300000;225.6000000;227.0000000;67191030
GAZP;D;20220328;000000;225.2500000;229.4500000;213.0300000;218.6000000;24680170
GAZP;D;20220329;000000;220.0000000;226.0000000;206.0000000;208.0000000;40309120
GAZP;D;20220330;000000;211.0200000;219.4100000;210.5200000;216.0000000;38559960
GAZP;D;20220331;000000;218.9800000;249.0000000;217.1000000;242.4800000;83862320
GAZP;D;20220401;000000;245.9000000;258.7000000;242.4800000;251.4000000;50423650
GAZP;D;20220404;000000;254.0400000;259.9900000;237.3100000;252.9000000;40926330
GAZP;D;20220405;000000;254.0100000;256.3900000;231.4500000;243.5000000;39850580
GAZP;D;20220406;000000;238.7300000;247.8000000;234.4100000;239.7000000;20530890
GAZP;D;20220407;000000;240.0400000;246.8000000;239.1300000;245.0000000;22367990
GAZP;D;20220408;000000;246.7900000;246.7900000;240.0000000;241.0700000;14799110
GAZP;D;20220411;000000;241.9000000;242.7800000;234.1600000;234.5500000;15637750
GAZP;D;20220412;000000;234.0000000;236.6300000;223.0000000;236.3000000;26615790
GAZP;D;20220413;000000;237.9900000;239.6400000;232.1300000;234.8700000;12663510
GAZP;D;20220414;000000;234.9000000;235.5000000;221.1000000;222.1100000;21906730
GAZP;D;20220415;000000;221.9900000;226.6500000;215.7400000;224.0000000;19933030
GAZP;D;20220418;000000;224.2900000;226.0000000;216.6000000;216.9900000;15584460
GAZP;D;20220419;000000;216.9000000;222.0000000;207.0000000;220.7200000;30669110
GAZP;D;20220420;000000;221.4300000;229.8400000;215.6300000;218.9200000;33569140
GAZP;D;20220421;000000;220.0300000;221.0000000;210.2900000;210.2900000;24292390
GAZP;D;20220422;000000;210.5000000;215.0000000;207.0100000;208.0000000;28717940
GAZP;D;20220425;000000;209.9500000;209.9500000;201.1200000;206.3500000;18767820
GAZP;D;20220426;000000;207.9700000;229.7400000;206.5400000;225.8500000;46484770
GAZP;D;20220427;000000;226.0400000;237.5000000;221.6100000;237.1500000;48219530
GAZP;D;20220428;000000;239.4000000;249.0000000;235.5000000;237.5300000;68889640
GAZP;D;20220429;000000;238.5800000;245.4300000;238.0000000;240.4000000;43392920
